printing_id,printing_code,set_code,card_id,card_name,rarity,variant_name
2,2017-EN001,2017,662853,Sanctity of Dragon,Extra Secret Rare,
4,2017-EN002,2017,662857,Iron Knight of Revolution,Extra Secret Rare,
5,2018-EN001,2018,662854,Noritoshi in Darkest Rainment,Extra Secret Rare,
6,2018-EN002,2018,662855,Amatsu-Okami of the Divine Peaks,Extra Secret Rare,
7,2019-EN003,2019,662855,Amatsu-Okami of the Divine Peaks,Ultra Rare,
8,2019-EN004,2019,662854,Noritoshi in Darkest Rainment,Ultra Rare,
9,2020-EN001,2020,89631139,Blue-Eyes White Dragon,Extra Secret Rare,
10,2021-EN001,2021,46986414,Dark Magician,Extra Secret Rare,
11,21CC-EN001,21CC,2139640,Amabie,Common,
12,25LP-EN000,25LP,33396948,Exodia the Forbidden One,New artwork,
13,25LP-EN000,25LP,33396948,Exodia the Forbidden One,Secret Rare,
14,25LP-EN000,25LP,33396948,Exodia the Forbidden One,Ultra Rare,
15,25LP-EN001,25LP,72270339,Diabellstar the Black Witch,Secret Rare,
16,25LP-EN001,25LP,72270339,Diabellstar the Black Witch,Ultra Rare,
17,25LP-EN002,25LP,,Snake-Eyes Poplar,Secret Rare,
18,25LP-EN002,25LP,,Snake-Eyes Poplar,Ultra Rare,
19,25LP-EN003,25LP,64182380,"Garunix Eternity, Hyang of the Fire Kings",Secret Rare,
20,25LP-EN003,25LP,64182380,"Garunix Eternity, Hyang of the Fire Kings",Ultra Rare,
21,25LP-EN004,25LP,90681088,Legendary Fire King Ponix,Secret Rare,
22,25LP-EN004,25LP,90681088,Legendary Fire King Ponix,Ultra Rare,
23,25LP-EN005,25LP,101203054,Nightmare Pain,Secret Rare,
24,25LP-EN005,25LP,101203054,Nightmare Pain,Ultra Rare,
25,25LP-EN006,25LP,,Bacha the Melodious Maestra,Secret Rare,
26,25LP-EN006,25LP,,Bacha the Melodious Maestra,Ultra Rare,
27,25LP-EN007,25LP,,Sangenpai Transcendent Dragion,Secret Rare,
28,25LP-EN007,25LP,,Sangenpai Transcendent Dragion,Ultra Rare,
29,25LP-EN008,25LP,,Sangen Kaimen,Secret Rare,
30,25LP-EN008,25LP,,Sangen Kaimen,Ultra Rare,
31,25LP-EN009,25LP,,Mementomictlan Tecuhtlica - Creation King,Secret Rare,
32,25LP-EN009,25LP,,Mementomictlan Tecuhtlica - Creation King,Ultra Rare,
33,25LP-EN010,25LP,,Azamina Ilia Silvia,Secret Rare,
34,25LP-EN010,25LP,,Azamina Ilia Silvia,Ultra Rare,
35,25LP-EN011,25LP,,Azamina Mu Rcielago,Secret Rare,
36,25LP-EN011,25LP,,Azamina Mu Rcielago,Ultra Rare,
37,25LP-EN012,25LP,,"Poseidra Abyss, the Atlantean Dragon Lord",Secret Rare,
38,25LP-EN012,25LP,,"Poseidra Abyss, the Atlantean Dragon Lord",Ultra Rare,
39,25LP-EN013,25LP,,Mermail King - Neptabyss,Secret Rare,
40,25LP-EN013,25LP,,Mermail King - Neptabyss,Ultra Rare,
41,25LP-EN014,25LP,,Ryzeal Detonator,Secret Rare,
42,25LP-EN014,25LP,,Ryzeal Detonator,Ultra Rare,
43,25LP-EN015,25LP,,Ryzeal Cross,Secret Rare,
